string	english (円,원,$,£,€,zł)	comment. Include all currency characters here to get them included in used_chars.txt, because they're retrieved automatically from the 3DS eShop.

# ----- Generic ----
next	Далi
upgrade_armor_03_desc	"""Чудовий захист у небезпечнiй ситуацiï."""
upgrade_armor_04	Загартований обладунок
upgrade_armor_04_desc	"""Класичний эвропейський гарт."""
upgrade_armor_05	Легендарний обладунок
upgrade_armor_05_desc	"""Наша нова знаменитiсть."""
upgrade_armor_06	Обладунок долi
upgrade_armor_06_desc	"""Обладунок для тих, кому i море по колiно."""
upgrade_armor_07	Мiсячний обладунок
upgrade_armor_07_desc	"""Вiн несе свiтло в iм'я... Загалом, з ним не пропадеш."""
upgrade_armor_08	Обладунок-фенiкс
upgrade_armor_08_desc	"""Повстань з попелу, обтрусись i засiяй."""

upgrade_armor_reduce_falldamage_01	Грацiя пуми
upgrade_armor_reduce_falldamage_01_desc	Скорочуэ шкоду пiд час падiння.
upgrade_armor_reduce_falldamage_01_flavor	"""Пiймай мене, адже ти зможеш."""
upgrade_armor_thorns	Карма
upgrade_armor_thorns_desc	Завдаэ шкоди всiм, хто атакуэ вас у ближньому бою.
upgrade_armor_thorns_flavor	"""Немаэ троянд без шипiв."""
upgrade_armor_guts	Майстер виживання
upgrade_armor_guts_desc	Пiсля першого смертельного удару замiсть смертi вiдбуваэться повне вiдновлення здоров'я. Здатнiсть вiдновлюэться в мiстi.
upgrade_armor_guts_flavor	"""У вогнi не горимо i у водi не тонемо!"""
upgrade_armor_resistliquids	Чоботи Вiдара
upgrade_armor_resistliquids_desc	Ненадовго даэ iмунiтет до кислоти та лави.
upgrade_armor_resistliquids_flavor	"""Цим чоботам не страшнi нi кислота, нi лава."""
upgrade_armor_damage_reduction	Надкомпозитна броня
upgrade_armor_damage_reduction_desc	Знижуэ одержувану шкоду.
upgrade_armor_damage_reduction_flavor	"""Не захищаэ хiба що вiд карiэсу."""
upgrade_armor_rainbow_orbs	Ядерна рiзноманiтнiсть
upgrade_armor_rainbow_orbs_desc	Текуча кольорова броня, яка даэ маленький шанс отримати 3 райдужних сфери при кожнiй перемозi над ворогом.
upgrade_armor_rainbow_orbs_flavor	"""Неважливо, хто ти, звiдки i що копаэш. Головне, щоб костюмчик сидiв."""
upgrade_armor_deflect	Арамiдна броня
upgrade_armor_deflect_desc	Вiдбиваэ перший влучивший у вас снаряд. Вiдновлюэться за 30 секунд.
upgrade_armor_deflect_flavor	"""Хто обзиваэться, сам так називаэться."""

upgrade_watertank	Водяна цистерна
upgrade_watertank_desc	Багато iнструментiв працюють на водi. Ïï запаси можна поповнити у водних резервуарах в шахтi.
upgrade_watertank_next_level_desc	Полiпшення цистерни збiльшуэ ваш запас води.
upgrade_watertank_01	Проста банка
upgrade_watertank_01_desc	"""Базове пристосування паровоï технологiï."""
upgrade_watertank_02	Клапан Мелвiла
upgrade_watertank_02_desc	"""Технологiя з нальотом класики."""
upgrade_watertank_03	Акварiус
upgrade_watertank_03_desc	"""Iстина - у водi!"""
upgrade_watertank_04	Королiвський бак
upgrade_watertank_04_desc	"""Потоп? Хто сказав про потоп?"""
upgrade_watertank_05	Наутилус 2
upgrade_watertank_05_desc	"""Двадцять тисяч лiтрiв води."""

upgrade_watertank_water_pickup_01	Водяник
upgrade_watertank_water_pickup_01_desc	Шанс додаткових водяних сфер вiд переможених ворогiв.
upgrade_watertank_water_pickup_01_flavor	"""Здаэться, дощ починаэться..."""
upgrade_watertank_improved_water_pump	Водокачка
upgrade_watertank_improved_water_pump_desc	Швидше поглинаэ воду з водойм.
upgrade_watertank_improved_water_pump_flavor	"""Хто вiзьме деталей пачку, той одержить..."""
upgrade_watertank_water_condenser	Випарник
upgrade_watertank_water_condenser_desc	Перетворюэ вологу в потiк води, вiдновлюючи вашi запаси.
upgrade_watertank_water_condenser_flavor	"""Шахта туманна, вологою покрита..."""
upgrade_watertank_light_orbs_to_water	Верхи на бурi
upgrade_watertank_light_orbs_to_water_desc	Це обладнання перетворюэ свiтловi сфери у водянi. Не дiэ на райдужнi сфери.
upgrade_watertank_light_orbs_to_water_flavor	"""Свiтло у воду, потiм воду на вино. Старий фокус, про нього всi читали."""
upgrade_watertank_regeneration	Водяна регенерацiя
upgrade_watertank_regeneration_desc	Вiдновлюэ здоров'я у водоймах.
upgrade_watertank_regeneration_flavor	"""Поверни мене до життя."""

upgrade_minimap	Мапа
upgrade_minimap_desc	Показуэ, де ви були i куди йдете.
upgrade_minimap_01	Мапа
upgrade_minimap_01_desc	"""Все, що вам потрiбно, - це план, дорожня мапа i смiливiсть йти до мети."""

upgrade_minimap_quest_pointer	Вiдмiтки на мапi
upgrade_minimap_quest_pointer_desc	Показуэ на мапi позначки ({image quest_pointer_arrow} i {image quest_pointer_crosshair}), направляючi до цiлей вашоï мiсiï. \n\n{format bold}Якщо ви не любите, коли вам вказують, вимкнiть цю модифiкацiю.{format reset}
upgrade_minimap_quest_pointer_flavor	"""Не знаю, хлопцi, я сам тут вперше..."""

upgrade_minimap_mineral_detector	Мапа мiнералiв
upgrade_minimap_mineral_detector_desc	Вiдкриваэ всi ресурси на мiнi-мапi.
upgrade_minimap_mineral_detector_flavor	"""Сезам, вiдкрийся!"""
upgrade_minimap_hp_bar	Око Одiна
upgrade_minimap_hp_bar_desc	При нанесеннi шкоди ворогу показуэ, скiльки у нього залишилося здоров'я.
upgrade_minimap_hp_bar_flavor	"""Головного очима не побачиш, гострозоре лише серце."""

upgrade_run_boots	Бiгова гiдравлiка
upgrade_run_boots_desc	Щоб бiгти, утримуйте пiд час руху {indicator run}.\nБiг дозволяэ швидше рухатися та вище стрибати.
upgrade_run_boots_flavor	"""Ще трохи швидше - i ми переженемо час!"""

upgrade_buddy	Фен
upgrade_buddy_desc	Таэмничий привид, який оселився у вашому паровому котлi.

upgrade_fate	Машина долi
upgrade_fate_desc	Таэмничi модифiкацiï, що змiнюють устрiй свiту.
upgrade_fate_flavor	"""Зречемося старого свiту!"""
upgrade_fate_bloodquest	{image danger}Кривавий шлях{image danger}
upgrade_fate_bloodquest_desc	Видобуток цiною кровi!\nПодвоюэ шанс отримати кровавики пiд час загибелi ворога, але при цьому збiльшуэ шкоду.\n\n{format bold}Активацiя цiэï модифiкацiï ускладнить виконання мiсiй. Пiдходить тiльки досвiдченим бiйцям.{format reset}
upgrade_fate_bloodquest_flavor	"""Двосiчний меч."""
upgrade_fate_xpx2	{image danger}У гонитвi за ризиком{image danger}
upgrade_fate_xpx2_desc	Подвоюэ досвiд за вбивства, але сфери ви отримаэте тiльки за креативнi вбивства та бонуси.\n\n{format bold}Активацiя цiэï модифiкацiï ускладнить виконання мiсiй. Пiдходить тiльки досвiдченим бiйцям.{format reset}
upgrade_fate_xpx2_flavor	"""Важкий шлях, але висока нагорода."""
upgrade_fate_explosions	{image danger}Смертевибух{image danger}
upgrade_fate_explosions_desc	Вороги вибухають, коли вмирають.\n\n{format bold}Активацiя цiэï модифiкацiï ускладнить виконання мiсiй.{format reset}
upgrade_fate_explosions_flavor	"""Та буде вибух!"""
upgrade_fate_resource_exploder	Перехресний вибух
upgrade_fate_resource_exploder_desc	Розбиваючи плитки з ресурсами, кирка спричиняэ вибух, що ушкоджуэ сумiжнi плитки.
upgrade_fate_resource_exploder_flavor	"""Хрестики, нулики... вибух."""
upgrade_fate_hell_cave_sigil	Фiгури райськi та пекельнi
upgrade_fate_hell_cave_sigil_desc	Вершина самотностi в пустелi,\nНе легкий шлях серед пiскiв небезпечних.\nТвоя доля на небесах вiднинi,\nПрихована в мiсцi дивному i прекрасному.
upgrade_fate_hell_cave_sigil_flavor	"""Доля, йдемо зi мною."""

upgrade_steampack	Реактивний двигун
upgrade_steampack_desc	Щоб летiти, утримуйте {indicator jump}.\nЕкспериментальний двигун внутрiшнього згоряння не споживаэ воду, але швидко перегрiваэться.
upgrade_steampack_next_level_desc	Покращiть реактивний двигун, щоб рухатися довше.
upgrade_steampack_01	Secord Mod 38
upgrade_steampack_01_desc	"""Базовий чотирьохцилiндровий двигун."""
upgrade_steampack_02	Подвiйний циклон
upgrade_steampack_02_desc	"""Iнверсний, з повiтряним охолодженням."""
upgrade_steampack_03	Le Rhône 69
upgrade_steampack_03_desc	"""Комбiнована повiтряно-водяна система охолодження. Все - або нiчого."""

upgrade_steampack_slayer	Повiтряно-реактивна сила
upgrade_steampack_slayer_desc	Використання реактивного двигуна завдаэ шкоди ворогам i крихким плиткам поруч з вами.
upgrade_steampack_slayer_flavor	"""А замiсть серця - полум'яний мотор!"""
upgrade_steampack_feather_fall	Стабiлiзатор швидкостi
upgrade_steampack_feather_fall_desc	Коли реактивний двигун перегрiваэться, утримуйте {indicator jump}, щоб зменшити швидкiсть падiння.
upgrade_steampack_feather_fall_flavor	"""Цього разу спробуйте не розбитися."""
upgrade_steampack_boost	Повний форсаж
upgrade_steampack_boost_desc	Збiльшуэ швидкiсть реактивного двигуна, то ж тапку в пiдлогу i слухайте радiсний рев.
upgrade_steampack_boost_flavor	"""Гальма придумав боягуз."""
upgrade_steampack_in_air_cooling	Повiтряне охолодження
upgrade_steampack_in_air_cooling_desc	Вiдпустiть {indicator jump} в польотi, щоб охолодити двигун. Виготовлено з холодним розрахунком.
upgrade_steampack_in_air_cooling_flavor	"""Лети, лети, пелюсток... Не перегрiвайся!"""

upgrade_pressurebomb	Газова бомба
upgrade_pressurebomb_desc	Можна кидати вперед, вгору i вниз. Витрачаэ воду.\nЩоб кинути, натиснiть {indicator tool_pressurebomb}!
upgrade_pressurebomb_next_level_desc	Покращiть газовi бомби, щоб збiльшити далекобiйнiсть.
upgrade_pressurebomb_01	Осмотичний код
upgrade_pressurebomb_01_desc	"""Високий тиск даэ силу удару... I проблеми зi здоров'ям."""
upgrade_pressurebomb_02	Гiдростатика Сколандера
upgrade_pressurebomb_02_desc	"""Ïï можна кидати ще далi!"""
upgrade_pressurebomb_03	Кислотна бомба
upgrade_pressurebomb_03_desc	"""Не плутати з кислою мiною."""
upgrade_pressurebomb_04	Бомба-бабах
upgrade_pressurebomb_04_desc	"""Не просто вибух, а з прибабахом! Ви не повiрите, але вони лiтають ще далi!"""

upgrade_pressurebomb_brickbreaker	Вибуховi пакети
upgrade_pressurebomb_brickbreaker_desc	Бомби будуть пiдривати ще бiльш твердi породи!
upgrade_pressurebomb_brickbreaker_flavor	"""Бачу цiль, не бачу перешкод!"""
upgrade_pressurebomb_launcher	Гранатомет
upgrade_pressurebomb_launcher_desc	Утримуйте {indicator tool_pressurebomb}. Граната полетить по дузi та спричинить масовi руйнування.
upgrade_pressurebomb_launcher_flavor	"""Здiймiться вогнищами, бочки з бензином..."""
upgrade_pressurebomb_improved_water	Знижка
upgrade_pressurebomb_improved_water_desc	Скорочуэ витрату води вдвiчi.
upgrade_pressurebomb_improved_water_flavor	"""Головне - не вихлюпнути дитину."""
upgrade_pressurebomb_water_pickup	Дуже Мокра Бомба
upgrade_pressurebomb_water_pickup_desc	Плитки, зруйнованi бомбами, дають додаткову водяну сферу.
upgrade_pressurebomb_water_pickup_flavor	"""Я як бомба в океанi..."""
upgrade_pressurebomb_increased_radius	Надтиск
upgrade_pressurebomb_increased_radius_desc	Вибухова хвиля вiд бомби знищуэ ворогiв у бiльшому радiусi.
upgrade_pressurebomb_increased_radius_flavor	"""Вогняне коло, вибухи навколо..."""
upgrade_pressurebomb_self_immunity	Щеплення Молотова
upgrade_pressurebomb_self_immunity_desc	Не даэ бомбам завдавати шкоди вам.
upgrade_pressurebomb_self_immunity_flavor	"""Я щеплень не боюся, Якщо треба, не вибухну."""
upgrade_pressurebomb_launcher_triple	Потроэна граната
upgrade_pressurebomb_launcher_triple_desc	Пiд час кидання пневмогранати ця потрiйна штучка випустить три гранати вiдразу!
upgrade_pressurebomb_launcher_triple_flavor	"""Одна голова добре, а три багато!"""
upgrade_pressurebomb_air_bomb	Небесна атака
upgrade_pressurebomb_air_bomb_desc	Даэ можливiсть використати газовi бомби в польотi. Вперед, небо кличе, кидайте бомби з безпечноï вiдстанi!
upgrade_pressurebomb_air_bomb_flavor	"""До речi про пташок... Добре, що корови не лiтають."""



upgrade_jackhammer	Вiдбiйний молоток
upgrade_jackhammer_desc	Чудовий iнструмент для розкопок i руйнування твердих порiд. А ось проти ворогiв марний. Витрачаэ воду. Утримуйте {indicator tool_jackhammer}, щоб пiдвищити потужнiсть!
upgrade_jackhammer_next_level_desc	Покращiть вiдбiйний молоток, щоб пiдвищити його ефективнiсть.
upgrade_jackhammer_01	Ковальський молот
upgrade_jackhammer_01_desc	"""Кожен - сам коваль свого щастя!"""
upgrade_jackhammer_02	Титанiчний бур
upgrade_jackhammer_02_desc	"""Пiдвищена ефективнiсть: бiльше гуркоту на вiдро води."""
upgrade_jackhammer_03	Переможець
upgrade_jackhammer_03_desc	"""Наконечник посилений побiдитом. Його нiкому не перемогти."""
upgrade_jackhammer_04	Поклик Мйольнiра
upgrade_jackhammer_04_desc	"""Космос i хаос кличуть."""

upgrade_jackhammer_improved_water	Сухий, як лист
upgrade_jackhammer_improved_water_desc	Скорочуэ витрату води вдвiчi.
upgrade_jackhammer_improved_water_flavor	"""Жарко, але не парко."""
upgrade_jackhammer_faster_windup	Синтетичне мастило
upgrade_jackhammer_faster_windup_desc	Прискорюэ запуск вiдбiйного молотка.
upgrade_jackhammer_faster_windup_flavor	"""Пiде як по маслу!"""
upgrade_jackhammer_faster_maxspeed	Олiмпiйський цилiндр
upgrade_jackhammer_faster_maxspeed_desc	Покращений пневматичний цилiндр. Пiдвищуэ максимальну швидкiсть роботи, витрачаючи бiльше води.
upgrade_jackhammer_faster_maxspeed_flavor	"""Вище! Далi! Швидше!"""
upgrade_jackhammer_push	Керування потоком
upgrade_jackhammer_push_desc	Рухаэ вас вперед, коли вiдбiйний молоток пробиваэ породу.
upgrade_jackhammer_push_flavor	"""Мiй молоток вперед летить!"""
upgrade_jackhammer_shockwave	Сейсмовибух
upgrade_jackhammer_shockwave_desc	Вiдбiйний молоток руйнуэ кiлька плиток пiдряд.
upgrade_jackhammer_shockwave_flavor	"""Одним махом сiмох розбивахом!"""
upgrade_jackhammer_slower_winddown	Тихохiд
upgrade_jackhammer_slower_winddown_desc	Продовжуэ iнерцiю: вiдбiйний молоток пiсля вмикання працюэ довше.
upgrade_jackhammer_slower_winddown_flavor	"""Тихiше ïдеш - далi будеш."""

upgrade_hook	Кiшка
upgrade_hook_desc	Щоб використати, натиснiть {indicator tool_hookshot}. Пiдтягуэ в зазначеному напрямку. Можна використовувати проти ворогiв i отримувати рiзнi ефекти.
upgrade_hook_next_level_desc	Покращення збiльшують радiус дiï.
upgrade_hook_01	Кiшка
upgrade_hook_01_desc	"""Зачепив - пiдтягнувся. Приблизно так вона i працюэ."""
upgrade_hook_long	Далекобiйна кiшка
upgrade_hook_long_desc	Кiшка летить далi та чiпляэться краще!
upgrade_hook_long_flavor	"""Вище тiльки стеля."""

# ----- Quests ----
quest_get_to_elmachino	~Потрапити в Ель Макiно~
quest_talk_to_mayor	~Поговорити з мером~

quest_gather_resources	~Добувати ресурси~
obj_gather_resources	Зiбрано: $%1%{image money_small_up} / $%2%{image money_small_up}

quest_sell_resources	~Продати ресурси~

quest_fix_lamp	~Полагодити лiхтар~

quest_lit_the_lamp	~Увiйти в Архею~
quest_find_teleporter	~Полагодити пневмотрубу~
quest_investigate_cave_in	~Розчистити прохiд~
quest_get_pressurebomb	~Знайти вибухiвку~
quest_clear_cave_in	~Розчистити прохiд~
quest_get_jackhammer	~Знайти станцiю~

quest_report_to_mayor	~Поговорити з мером~

quest_find_the_hub	~Увiйти в мiсто бомжiв~

quest_talk_to_rosie	~Поговорити з Розi~
quest_get_grapplinghook	~Увiйти на станцiю~
quest_find_rocketeer	~Знайти маленького бота~
quest_enter_firetemple	~Увiйти в схiдний храм~
quest_kill_priest	~Битися з Пророком~
quest_destroy_temple_generators	~Вимкнути машину~

quest_enter_vectron	~Дослiдити Вектрон~
quest_report_to_rosie_vectron1	~Повернутися в Оазис~

quest_hubtube	~Знайти iнший вхiд~
quest_confront_rosie	~Битися з Розi~
quest_destroy_the_last_generators	~Знищити машини~

quest_objective_in_progress	{image objective_in_progress}
quest_objective_finished	{image objective_finished}

# -- %1% is finished sub-objectives, %2% is sub-objective count, %3% is either quest_objective_in_progress or quest_objective_finished
quest_destroy_the_last_generators_objective_guidance	Захiдний храм %3%
quest_destroy_the_last_generators_objective_fire	Схiдний храм %3%
quest_destroy_the_last_generators_objective_yarrow	Ярроу %3%

# ----- Banners -----
banner_bonusup	Бонус за продаж!
banner_bonusup_text	Бонус: %1%%%
banner_levelup	Вiдкрито новi полiпшення!
banner_levelup_text	Придбати в майстернi
banner_gain_ability	%1%!
banner_died_header	Ви на звалищi
banner_blueprint_header	{image cogs_up} %1%
banner_blueprint_text_in_tools	Модифiкацiï: {indicator_high menu_next_tab}
banner_blueprint_text_other	Використати в майстернi
banner_teleport_header	Вiдкрита транспортна пневмотруба!
banner_secret_header	Вiдкрита секретна зона!
banner_artifact_text	Додано в колекцiю

# ----- Popups -----
popup_died	Повернутися
popup_died_lost_all_text	Ви загинули та втратили всi зiбранi ресурси.
popup_died_lost_some_text	Ви загинули та втратили частину зiбраних ресурсiв.
popup_died_lost_none_text	Ви загинули, але не втратили ресурси.
popup_died_end_text	\nВи повернетеся в мiсто.

popup_died_checkpoint_title	Спробуйте ще раз!
popup_died_checkpoint_text	Ви повернетеся до останньоï мiтки.

popup_inventory_discard_title	Викинути
popup_inventory_discard_text	Викинути ресурси (%1% x %2%)?\n\nПовернути ïх не вдасться.
popup_inventory_discard_give_money_text	Викинути ресурси (%1%x %2%)?\n\nЗа викинутi ресурси ви отримаэте $%3%{image money_small} (з $%4%{image money_small}).
popup_inventory_discard_give_health_text	Викинути ресурси (%1% x %2%)?\n\nЗа викинутi ресурси ви вiдновите %3% здоров'я.
popup_inventory_discard_give_money_and_health_text	Викинути ресурси (%1%x %2%)?\n\nЗа викинутi ресурси ви отримаэте $%3%{image money_small} (з $%4%{image money_small}) i вiдновите %5% здоров'я.

popup_find_map_title	Мапа
popup_find_map_text	Щоб знайти мапу свiту, натиснiть {indicator menu_pause}.

popup_press_input_title_gamepad	Призначити кнопку
popup_press_input_title_keyboard	Призначити клавiшу
popup_press_input_text_gamepad	Щоб призначити кнопку на дiю, натиснiть ïï.\n\nЩоб скасувати натиснiть {indicator menu_pause}.
popup_press_input_text_keyboard	Щоб призначити клавiшу на дiю, натиснiть ïï.\n\nЩоб скасувати натиснiть {indicator menu_pause}.
popup_wrong_input_type_title	Невiрний тип введення
popup_wrong_input_type_text	Не можна мiняти мiсцями геймпад i клавiатуру з мишею.
popup_error_mouse_left_title	Кнопка зайнята
popup_error_mouse_left_text	Не можна призначити лiву кнопку мишi.

popup_tools_screen_buy_upgrade_title	Придбати модифiкацiю?
popup_tools_screen_buy_upgrade_text	%1% коштуэ $%2%{image money_small}. Придбати?

popup_tools_screen_enable_cog_title	Вибрати модифiкацiю.
popup_tools_screen_enable_cog_text	Ця модифiкацiя ускладнить виконання мiсiй. Але може бути весело!\n\nВибрати цю модифiкацiю?

popup_difficulty_title	Виберiть складнiсть
popup_difficulty_newgame_text	Виберiть рiвень складностi.\nСкладнiсть можна буде змiнити в будь-який момент.
popup_difficulty_change_text	Виберiть рiвень складностi.\nПоточний рiвень: %1%.

# ----- Menus -----
main_menu_start	Почати гру
main_menu_options	Параметри
main_menu_extras	Додатково
main_menu_exit	Вихiд

menu_profile_slot_empty_header	Створити гру
menu_profile_slot_empty_details	Нова пригода
menu_profile_header	Гра
menu_profile_header_corrupt	Профiль пошкоджений
menu_profile_corrupt_desc	Не вдалося завантажити
popup_info_profile_corrupt_title	Профiль пошкоджений
popup_info_profile_corrupt_text	Не вдалося завантажити профiль

menu_profile_delete	Видалити збереження
menu_profile_continue	Продовжити
menu_profile_start	Почати гру
menu_profile_money	$%1% {image money_profile}
menu_profile_cogs	%1% {image cogs_profile}
menu_profile_artifacts	%1% / %2% {image artifacts_profile}
menu_profile_secrets_header	Таэмницi

menu_credits	Автори
menu_contact	Контакти

popup_confirm_erase_profile_title	Видалити профiль?
popup_confirm_erase_profile_text	Профiль кане в пiтьму навiки... Продовжити?

menu_gamepad_info	Найкраще грати з геймпада. Хапайте його - i копайте!

menu_epilepsy_info_header	УВАГА: СВIТЛОЧУТЛИВIСТЬ/ЕПIЛЕПСIЯ
menu_epilepsy_info_text	"Ця гра мiстить сцени, здатнi спровокувати приступ епiлепсiï. \n\nЩоб мiнiмiзувати ризик, встановiть прапорець ""Вимкнути мерехтiння"" в меню параметрiв."

menu_xp_level	Рiвень %1%
menu_xp_tonext	Далi: %1% досвiду
xp_bar_level_up	НОВИЙ РIВЕНЬ!

ui_status_label_hits	{image hits} x %1%
ui_status_inventory_full	Недостатньо мiсця

menu_statusui_currency_cogs	{format header_drop}%1%
menu_statusui_currency_money	{format header_drop}$%1%
menu_statusui_currency_cogs_presentation	{format currency_presentation}+%1%
menu_statusui_currency_money_presentation	{format currency_presentation}+$%1%
menu_statusui_currency_cogs_presentation_negative	{format currency_presentation_negative}-%1%
menu_statusui_currency_money_presentation_negative	{format currency_presentation_negative}-$%1%

menu_currency_money	$%1% {image money}
menu_currency_money_small	$%1%{image money_small}

menu_sell_resources_stack	x %1%
menu_sell_resources_bonus	Бонус: %1%%%
menu_sell_resources_value	Продати за:

# ------ Contact Menu -----
menu_contact_top_header	Давайте поговоримо!
menu_contact_text	Ласкаво просимо в SteamWorld! Ми спiвробiтники Image & Form, i це завдяки вам у нас э робота. Хочете щось сказати? Обговорити? Напишiть нам. Ми на зв'язку майже весь час, вам не доведеться довго чекати вiдповiдi.
menu_contact_signature	– Brjánn, CEO
menu_twitter_text	Twitter: @imageform
menu_facebook_text	Facebook: Image & Form Games
menu_youtube_text	YouTube: youtube.com/c/imageform
menu_website_text	Сайт: www.imageform.se
menu_email_text	Е-мейл: info@imageform.se

# ------ Post-Game Ranking Screen -----
menu_ranking_header	Рейтинг
menu_ranking_playtime	Час
menu_ranking_deaths	Смертей
menu_ranking_networth	Капiтал
menu_ranking_secrets	Таэмницi
menu_ranking_close	Закрити


# ------ Map Screen -----
menu_map_header	Мапа
menu_map_secrets	%1%\nТаэмницi: %2%%%
menu_map_no_secrets	%1%
menu_map_legend_player	Доротi
menu_map_legend_door	Дверi
menu_map_legend_tube	Труба
menu_map_legend_cave	Печера
menu_map_legend_cave_done	Печера пройдена
menu_map_legend_quest	Мiсiя

menu_teleport_prompt	Вперед
menu_quest_sequence_done_prompt	Продовжити
menu_quick_hub_teleport	Повернутися (Ель Макiно)
menu_quick_return_teleport	Останнэ розмiщення

menu_map_zoom	Наблизити/вiддалити

# ------ Transport Tube Names -----

tube_teleporter_yarrow_2_tumblers_01	Виблискуюча штольня
tube_teleporter_yarrow_2_tumblers_02	Над Кислотним болотом
tube_teleporter_yarrow_2_lock_01	Пiд Кислотним болотом
tube_teleporter_yarrow_2_spitters	Грибний ставок
tube_teleporter_yarrow_2_bats	Комарино-мiнне поле
tube_firetemple_teleporter_01	Вхiд у шахту
tube_firetemple_teleporter_02	Конвеэрний лабiринт
tube_firetemple_teleporter_03	Лавовий коридор
tube_firetemple_teleporter_04	Вiвтар големiв
tube_firetemple_teleporter_05	Усерединi храму
tube_firetemple_teleporter_06	Навiсний лава-сад
tube_firetemple_teleporter_09	Велика рiка лави
tube_firetemple_teleporter_08	Вхiд у арсенал
tube_firetemple_teleporter_07	Вхiд до пiдвалу
tube_firetemple_teleporter_10	Внутрiшнэ святилище
tube_archaea_teleporter_01	Краснокаменний штрек
tube_archaea_teleporter_02	Розплiдник кактусiв
tube_archaea_teleporter_03	Над стiною
tube_archaea_teleporter_04	Пiд стiною
tube_archaea_teleporter_05	Застава нижньоï шахти
tube_archaea_teleporter_06	Нижнiй рiвень шахти
tube_eastdesert_teleporter_01	Вхiд у храм
tube_thehub_teleporter_01	Оазис
tube_elmachino_teleporter_01	Ель Макiно
tube_templeofguidance_teleporter_01	Шахта Нижнього храму
tube_temple_of_guidance2_teleporter	Цистерна храму

# ------ Upgrades Screen -----

menu_upgrades_header_cogs	Модифiкацiï
menu_upgrades_header_upgrades	Покращення

menu_upgrades_minor_prompt_insertcogs	Вставити Шестерiнка
menu_upgrades_minor_prompt_removecogs	Видалити Шестерiнка

menu_upgrades_price	$%1%{image money_up}
menu_upgrades_level	Потреб. Рiвень %1%
menu_upgrades_maxed	МАКС.
menu_upgrades_tooltier	Ступiнь %1% %2%

menu_upgrades_switch_to_cogs	До модифiкацiй
menu_upgrades_switch_to_upgrade	До полiпшень
menu_upgrades_buy_upgrade	Придбати покращання
menu_upgrades_cogs_slot	Поставити модифiкацiю
menu_upgrades_cogs_unslot	Зняти модифiкацiю

menu_upgrades_lockedupgrade	(Недоступно)
menu_upgrades_desc_minor_upper_needlevel	{format upgrade_locked}- Потрiбно: %2% %1% ступенi -{format reset}
menu_upgrades_desc_minor_upper_needworkbench	{format upgrade_locked}- Встановити можна у майстернi -{format reset}
menu_upgrades_desc_minor_upper_needcog	{format upgrade_locked}- Потрiбна {image cogs_small} Шестерiнка -{format reset}
menu_upgrades_desc_minor_upper_needcogs	{format upgrade_locked}- Потрiбнi {image cogs_small} Шестерiнки: %1% -{format reset}
menu_upgrades_desc_minor_upper_havecog	- Можна вiдкрити за 1 {image cogs_small} -
menu_upgrades_desc_minor_upper_havecogs	- Можна вiдкрити за %1% {image cogs_small} -
menu_upgrades_desc_minor_upper_nocogs	- Безкоштовно -
menu_upgrades_desc_minor_upper_cogged_needworkbench	{format upgrade_locked}- Зняти можна в майстернi -{format reset}
menu_upgrades_desc_minor_upper_cogged	- Встановлено -

menu_upgrades_desc_minor_header_needblueprint	???
menu_upgrades_desc_minor_upper_needblueprint	{format upgrade_locked}- Потрiбно креслення -{format reset}
menu_upgrades_desc_minor_needblueprint	Ця модифiкацiя потребуэ креслення.

menu_upgrades_desc_major_upper_needlevel	{format upgrade_locked}- Нове покращання доступне на %1% рiвнi -{format reset}
menu_upgrades_desc_major_upper_cantafford	{format upgrade_locked}- За покращання потрiбно вiддати $%1%{image money_small} -{format reset}
menu_upgrades_desc_major_upper_price	- За покращання потрiбно вiддати $%1%{image money_small} -
menu_upgrades_desc_major_upper_needworkbench	{format upgrade_locked}- Полiпшити в майстернi за $%1%{image money_small} -{format reset}
menu_upgrades_desc_major_upper_needlevel_us	{format upgrade_locked}- Вiдкриваэться на рiвнi %1% -{format reset}
menu_upgrades_desc_major_upper_cantafford_us	{format upgrade_locked}- Доступно за $%1%{image money_small} -{format reset}
menu_upgrades_desc_major_upper_price_us	- Цiна: $%1%{image money_small} - 

menu_upgrades_desc_major_upper_max	Цей iнструмент полiпшений до максимального ступеня.
menu_upgrades_desc_major_upper_cantupgrade	Цей iнструмент не можна полiпшити.

menu_upgrades_desc_major_header_unavailable	???
menu_upgrades_desc_major_upper_unavailable	{format upgrade_locked}- Недоступно -{format reset}
menu_upgrades_desc_major_unavailable	Полiпшення ще не вiдкрито.

menu_upgrades_desc_major_upper_tier	- Ступiнь %1% %2% -

menu_upgrades_desc_unlock_cog	Модифiкацiя: %1%
menu_upgrades_desc_unlock_cog_header	Вiдкриваэ модифiкацiï:

# ------ Collectibles Screen -----
menu_collectibles_header	Артефакти

menu_collectibles_empty	Артефактiв наразi немаэ
menu_collectibles_empty_header	Артефактiв наразi немаэ
menu_collectibles_empty_text	Ви ще не знаходили артефактiв. Коли знайдете, вони з'являться тут.

menu_collectibles_totalcollect_text	Зiбрано
menu_collectibles_totalcollect	%1%/%2%

# ------ Inventory Screen -----
menu_inventory_header	Ресурси

